screen_name,followers,friends,tweets,place,user_location
ACIM_YouTube,379277.0,8044.0,19849.0,,United States
sharkkteethsolo,348991.0,1844.0,53668.0,,"UNION RODBUSTER IRONWORKER, BUILDING AMERICA"
DanGlover1,317692.0,314746.0,146857.0,,"North-central Illinois, USA"
altusda,238591.0,19.0,1096.0,,"Washington, DC"
JohnSmit123,196504.0,154.0,4661.0,,Durban
_Aphmau_,191630.0,250.0,10773.0,,
chaturbate,172757.0,4007.0,44079.0,,status.chaturbate.com
JimmyColema1060,167820.0,169224.0,144489.0,,"Chicago, N.Y L.A"
kcranews,160770.0,541.0,143850.0,,"Sacramento, CA"
somepromotion,158412.0,33830.0,74327.0,,"London, England"
HelpAnimals,145266.0,146236.0,3627.0,,International
Araya_Hope____,142710.0,122436.0,96186.0,,"ღErotic City, If You're Luckyღ"
trixiemattel,138258.0,793.0,6318.0,"Ceres, CA","West Hollywood, CA"
Tedhenrya,127729.0,1186.0,283304.0,,Everywhere
JRabonOfficial,115851.0,320.0,46170.0,,BAY AREA | LOS ANGELES
997now,101981.0,2381.0,108227.0,,"San Francisco, California"
mauroranallo,92787.0,870.0,180181.0,,City of  Angels
Jacopo_della_Q,92416.0,85023.0,14418.0,,"Albany, NY"
FOX40,91161.0,548.0,113171.0,"California, USA","Sacramento, CA"
_ArriveAlive,90048.0,725.0,102283.0,,South Africa
CBSSacramento,88755.0,5532.0,73219.0,,"West Sacramento, Calif."
kristennleanne,87399.0,29.0,9221.0,,"Inland Empire, CA"
OceanEchoes,86364.0,85867.0,20733.0,,International
SMShow,82957.0,24209.0,50795.0,,"Los Angeles, CA"
UnseeingEyes,74832.0,76493.0,182153.0,,GLOBAL/New York
PEcom_news,70109.0,3130.0,48829.0,,"Riverside, CA"
abcollar,66729.0,57872.0,309913.0,,San Diego CA
FresnoBee,65036.0,614.0,65812.0,,"Fresno, California"
JanetCBrennan,63352.0,56980.0,337260.0,,Arizona
pdeblassieiii,62987.0,56742.0,199671.0,,"Albuquerque, New Mexico"
Sloomzo,55660.0,47221.0,29212.0,,
SwaGGTheRapper,55358.0,49213.0,86581.0,,South Bronx - NY 
adrianaactually,52040.0,57235.0,41954.0,,"Boston, MA"
AudioPush,51730.0,3543.0,37870.0,,Inland Empire 
DelStewart,51292.0,49136.0,20538.0,,"Redlands, CA "
DougJCooper,48648.0,44793.0,321625.0,,book/author info at
modbee,48393.0,1906.0,92328.0,"Ceres, CA","Modesto, CA"
mmpadellan,47435.0,24459.0,51976.0,,"Brooklyn, NY"
RanaHarbi,42497.0,268.0,2626.0,,Beirut-Lebanon
1994_Wavyy,42426.0,137.0,75090.0,,Brightmoor 
Razzbowski,41303.0,9034.0,54557.0,,UK
AmgenTOC,40196.0,1331.0,9601.0,"Modesto, CA",
RGBookWorld,39360.0,37576.0,681702.0,,
SPRINOIR,39126.0,496.0,36199.0,,
stone_rik,38907.0,33962.0,265669.0,,UK
FoolForDamian,37611.0,18506.0,188650.0,"Modesto, CA",playing pokemon go 
therealscribe,37229.0,19598.0,39022.0,,"Inland Empire, CA"
ModestoPolice,36779.0,366.0,3282.0,,"Modesto, CA"
ladailynews,36154.0,978.0,123963.0,,"Woodland Hills, Calif."
postbadjean,35298.0,318.0,160829.0,,Grenoble 
Retweet_Twitch,33259.0,10.0,92666.0,,Cyberspace
PasStarNews,33123.0,557.0,60182.0,,"Pasadena, Calif."
LetsGetLexi,32688.0,728.0,12177.0,,"San Francisco, CA"
IndieGameDevBot,32416.0,4981.0,1304347.0,,
BloggersBlast,31853.0,7310.0,239355.0,,United States
DailyBreezeNews,31681.0,526.0,37756.0,,"Torrance, CA"
sarahleah1,31237.0,4076.0,33041.0,,New York
YouBrandInc,31115.0,34221.0,130657.0,,Minneapolis
sbsun,30702.0,316.0,61854.0,,"San Bernardino, CA"
oneAutoAvenueOC,29754.0,29507.0,5958.0,,"Orange County, California"
AuthorLTaylor,29299.0,16435.0,397387.0,,"Solana Beach, CA "
asadabukhalil,28653.0,242.0,44079.0,,"Modesto, CA"
michellesexy13,28616.0,27858.0,90363.0,,InCyber Space with @mt13132626
AuthorRobJones,28003.0,26304.0,4923.0,,Australia
SGVTribune,26881.0,510.0,70705.0,,"Monrovia, CA"
ZiggMadison,26123.0,19382.0,38051.0,,"Tulsa, OK - Newport News, VA"
fatherlygod,25585.0,3590.0,137883.0,,West$ide
TheCamGirlArmy,25584.0,2105.0,164488.0,,Out promoting #camgirlz
robinsnewswire,25495.0,18885.0,1077821.0,,RT's Are FYI Purposes Only
OneAutoAvenueLA,25244.0,26218.0,21374.0,,"Los Angeles, CA"
dj4evayoung1,25019.0,451.0,41147.0,"Modesto, CA",TVT
BOWoktane,24725.0,877.0,56720.0,,"Inland Empire, CA"
tigerofthenight,22886.0,22245.0,640.0,,International
faithseedz,22029.0,16224.0,93651.0,,Bible Belt
Tanya_USA,21995.0,15849.0,54030.0,,United States
PennDragonArt,21633.0,19186.0,168654.0,,Las Vegas/Los Angeles
KristineCayne,21208.0,12876.0,242765.0,,"Seattle, WA"
GANGSTAKIDRAUHL,21115.0,6478.0,352694.0,,instagram: yourgirlirene
capebreton1973,20813.0,19036.0,614397.0,,"Cape Breton,Nova Scotia Canada"
U4iAOfficial,20758.0,2979.0,1459.0,,"Hollywood, CA"
avonsemotion,20430.0,18663.0,123015.0,,"Virginia, USA"
diegomend3z,20297.0,156.0,24940.0,,
LornajaneCosign,20008.0,11578.0,145310.0,,
Zaaaym_SheBLACK,19778.0,18483.0,148163.0,,DMV/NYC 
jasian12345,19737.0,16808.0,155304.0,,La Jolla
steventeaster,19690.0,16077.0,338043.0,,"LOS ANGELES,CA"
Two9,19673.0,430.0,44100.0,,"Atlanta, GA"
CarryCockburn,19277.0,16631.0,78260.0,,Thailand
OneAutoAvenueSD,18718.0,19710.0,7633.0,,"San Diego, California"
jennifergould,18501.0,505.0,71420.0,,Los Angeles
DENISHAZE,18255.0,17226.0,117342.0,,GOD
2KCrewFinder,17894.0,13977.0,32787.0,,2KPROAM
reverieLOVE,17721.0,195.0,71516.0,,"Los Angeles, CA ♥"
CAE_RT,17511.0,88.0,2450.0,,
Reach4ThePower,17365.0,12910.0,15279.0,"Modesto, CA",California
flong1992,17272.0,19018.0,66114.0,,
KTAxSPACEMAN,16602.0,673.0,120698.0,,OUTTA THIS WORLD
webelievebeliev,16216.0,15431.0,239531.0,,World
CurtissKing,15097.0,1487.0,115486.0,,"Inland Empire, Nostalgiafornia"
Fckbieberw,15053.0,14132.0,131819.0,,SP ● Brasil ✌● Mieczyslaw Girl
hale_akay,14935.0,1563.0,91930.0,,Konstantiniyye
tosinadeda,14915.0,878.0,275804.0,,Nigeria
HarrisK15,14648.0,678.0,33289.0,,"Modesto, CA"
whtvrdenise,14605.0,179.0,113020.0,,where the tex meets the mex
9975Ts,14228.0,15617.0,376198.0,,
RepJeffDenham,14157.0,1641.0,2366.0,,"Modesto, CA"
CentralValleyTV,14138.0,532.0,29236.0,,"Modesto, CA"
stinkylizerd,14037.0,616.0,6882.0,,
kidrxuhlshoodie,14018.0,9037.0,33586.0,,"Bay Area, CA"
Rene_gadeCowboy,13840.0,6129.0,359195.0,,"Fort Meade, Md/Nashville "
WINEormous,13778.0,3570.0,7510.0,,"Inland Empire, CA"
StanSheriff,13733.0,525.0,1836.0,"Turlock, CA",Modesto
winegirl73,13328.0,7913.0,227676.0,,"Warrenton, VA"
Varidienne,13164.0,13306.0,36195.0,,I unfollow if you do!  NO List
SJB6991,13151.0,14471.0,625658.0,,United Kingdom
ActDontReact,13036.0,13313.0,287234.0,,
bohemiantrading,12940.0,8190.0,444640.0,,Pennsylvania
goingup__,12936.0,8990.0,7844.0,,"Victorville, CA"
