created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Thu Feb 16 17:54:05 +0000 2017	832286946244313089	NEW #MorningMailbag: I answer a great Q I was asked last week at #DenhamMDOs in Patterson about the future of energy https://t.co/qNevd1JidS	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
Tue Feb 14 21:22:52 +0000 2017	831614711691108352	The Central Valley has a proud heritage of putting food on dinner tables across America. Read the #CA10 Ag Report: https://t.co/zo03GZf3iy	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
Tue Feb 14 17:08:55 +0000 2017	831550803483693056	Sent a bipartisan Valentine to my friend just down the road from #CA10 &amp; co-sponsor of 11 of my bills, @RepJimCosta… https://t.co/taMtaMF8Pf	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA	NA	NA	NA	NA	RepJimCosta
Mon Feb 13 19:25:26 +0000 2017	831222769199304707	5 #DenhamMDOs this week! Remember, if you can't make it, email me thru https://t.co/2H2mdHT76C or give my Modesto o… https://t.co/aqYBsvZ4id	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
Sun Feb 12 16:14:00 +0000 2017	830812207235489793	On this day in 1809, our 16th President was born. Join me in honoring &amp; celebrating President Lincoln on his birthd… https://t.co/aZlh0CMkDE	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
Fri Feb 10 22:05:52 +0000 2017	830175982296367104	Spent the past few days in #CA10 w/ stakeholders in healthcare, toured new medical facilities &amp; discussed impact of… https://t.co/tL5hkXD1iD	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	NA	NA	NA
Fri Feb 10 20:14:47 +0000 2017	830148025347633153	My new website is live! https://t.co/NGHCq0k518	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
Thu Feb 09 22:51:00 +0000 2017	829824953419603968	2 great stories out of Manteca w/first responder changes in command. Appreciate your service https://t.co/EmPzqzxNLU https://t.co/Ke7nORpEYe	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
Thu Feb 09 22:07:21 +0000 2017	829813967036022784	Thx @Google &amp; Poet-Christian Elementary for a great online safety tutorial. The ball isn't the thing the @warriors… https://t.co/fRwG6924dJ	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA	NA	NA	NA	NA	Google
Thu Feb 09 16:18:42 +0000 2017	829726224473792512	#ICYMI, I re-introduced my ENLIST Act earlier this year. What does it do? I discuss in this week's #MorningMailbag: https://t.co/zhPX2kdxYA	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	NA	NA	NA	NA	NA	NA	NA
