created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Wed Feb 15 19:26:36 +0000 2017	831947841253888000	RT @SONewJersey: Brooke and Becky just got to meet with NJ Congressman @RepLanceNJ7. Thanks for your support congressman. #SOHillDay https:…	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	NA	NA	NA	NA	831944794075230209	NA	SONewJersey
Thu Feb 09 22:27:02 +0000 2017	829818919468879872	Lance sets town hall meeting at Raritan Valley Community College https://t.co/ahoUeDNamb	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"	NA	NA	NA	NA	NA	NA	NA
Thu Feb 09 22:26:33 +0000 2017	829818798744145921	Rep. Lance who represents Somerset &amp; Union counties announced he will host his 41st in-person town hall meeting. https://t.co/nL8rIlzOyo	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"	NA	NA	NA	NA	NA	NA	NA
Thu Feb 09 19:51:50 +0000 2017	829779864123297793	"Lance’s 41st Town Hall Set For February 22

https://t.co/e50bg14sT8"	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"	NA	NA	NA	NA	NA	NA	NA
Wed Feb 15 19:26:36 +0000 2017	831947841253888000	RT @SONewJersey: Brooke and Becky just got to meet with NJ Congressman @RepLanceNJ7. Thanks for your support congressman. #SOHillDay https:…	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"					8.31944794075e+17		SONewJersey
Thu Feb 09 22:27:02 +0000 2017	829818919468879872	Lance sets town hall meeting at Raritan Valley Community College https://t.co/ahoUeDNamb	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							
Thu Feb 09 22:26:33 +0000 2017	829818798744145921	Rep. Lance who represents Somerset &amp; Union counties announced he will host his 41st in-person town hall meeting. https://t.co/nL8rIlzOyo	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							
Thu Feb 09 19:51:50 +0000 2017	829779864123297793	"Lance’s 41st Town Hall Set For February 22

https://t.co/e50bg14sT8"	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							
Tue Feb 07 20:29:43 +0000 2017	829064619767496705	"Lance Votes to Strengthen Email Privacy

https://t.co/5WiTAYXR2P"	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							
Mon Feb 06 21:33:09 +0000 2017	828718198195421185	President Reagan certainly would agree: There is no moral equivalency between the United States and Russia. https://t.co/0LjL9WT4Yg	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							
Fri Feb 03 00:54:51 +0000 2017	827319404723580929	@joemedler https://t.co/eY9m1Uzcc3	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							joemedler
Tue Jan 31 20:43:32 +0000 2017	826531383824752643	@felix_leyderman I won’t have an opportunity to vote on the DeVos nomination.  Only members of US Senate vote on prez appointments. — L.L.	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							felix_leyderman
Mon Jan 30 15:27:32 +0000 2017	826089471686885377	@therealmaryford https://t.co/WZK0QlnatC	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							TheRealMaryFord
Sun Jan 29 22:24:54 +0000 2017	825832115103268864	The President’s current travel ban executive order appears rushed and poorly implemented.  My full statement:  https://t.co/BgkjyHMaMC	"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>"							
Wed Jan 18 12:56:54 +0000 2017	821702906432864256	RT @JayEdwardsWrnj: #RNJNEWS: @RepLanceNJ7, @BillPascrell bill will keep 'Blue Lines' in towns https://t.co/ImfdwdYNZR https://t.co/vy1kswl…	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"					8.21673940502e+17		JayEdwardsWrnj
Wed Jan 18 12:55:17 +0000 2017	821702500491427840	Federal bill aims to keep thin blue line in support of police https://t.co/pdSPjlj1UG	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"							
Tue Jan 17 17:19:26 +0000 2017	821406589240360960	Lance announces NJ selected under Excellence in Mental Health Act https://t.co/nlQ445sMOJ	"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>"							
Fri Jan 13 19:56:05 +0000 2017	819996460712394754	Measure to control regulations passes House with support from Hultgren, Kelly, Lance - Ripon Advance https://t.co/1FVmrjMkam	"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>"							
Fri Jan 13 19:55:45 +0000 2017	819996374636888064	Central Jersey: Lance named vice chairman of Communications and Technology Subcommittee https://t.co/KFqenTm3vQ	"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>"							
Fri Jan 13 19:54:46 +0000 2017	819996127797846019	NJ congressman wants feds to back off rules banning pro-police blue lines https://t.co/N9E2q7ARqd	"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>"							
