created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Thu Feb 16 21:30:39 +0000 2017	832341445780582401	RT @Wilderness: Resolution by @RepLowenthal @davereichert @RepRaulGrijalva will protect America’s natural heritage https://t.co/xrZvk7Sm80…	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	832325254072635392	NA	Wilderness
Thu Feb 16 21:28:16 +0000 2017	832340844166397958	We must preserve our federal public lands for future generations. https://t.co/1ILBEcuxZq @RepLowenthal	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	NA	NA	RepLowenthal
Thu Feb 16 18:23:45 +0000 2017	832294410004099074	RT @TroutUnlimited: Bi-partisan resolution in Congress underscores value of #PublicLands https://t.co/w8rSskZv3g @RepLowenthal @davereicher…	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	832289698903121920	NA	TroutUnlimited
Thu Feb 16 17:20:08 +0000 2017	832278399410438146	RT @NPCA: Resolution by @RepLowenthal and @davereichert will protect America’s public lands https://t.co/rW02iFgvEr #KeepItPublic https://t…	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	832246916398321668	NA	NPCA
Thu Feb 16 14:21:30 +0000 2017	832233447884222464	RT @wsdot_traffic: UPDATE: All lanes blocked on WB I-90 east of Sunset Way in #Issaquah. Traffic being shifed from WB I-90 --&gt; SR 202. No E…	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	832224046653730816	NA	wsdot_traffic
Mon Feb 13 15:27:50 +0000 2017	831162976166088705	Wilfred Woods’ love for journalism &amp; community made a lasting impact on Central WA. Sending condolences to the Woods family @Wenatcheeworld	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	NA	NA	Wenatcheeworld
Thu Feb 09 19:39:31 +0000 2017	829776761839820800	Proud to join the bipartisan #ClimateSolutionsCaucus to work towards economically-viable options to reduce climate change.	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	NA	NA	NA
Thu Feb 09 19:38:17 +0000 2017	829776454179233792	"RT @bread4theworld: THANK YOU! @RepBetoORourke @DonJBacon @NormaJTorres @RepDavidValadao @PramilaJayapal @davereichert 
https://t.co/IhQ5FF…"	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	NA	NA	NA	NA	829770853013348352	NA	bread4theworld
Thu Feb 16 21:30:39 +0000 2017	832341445780582401	RT @Wilderness: Resolution by @RepLowenthal @davereichert @RepRaulGrijalva will protect America’s natural heritage https://t.co/xrZvk7Sm80…	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"					8.32325254073e+17		Wilderness
Thu Feb 16 21:28:16 +0000 2017	832340844166397958	We must preserve our federal public lands for future generations. https://t.co/1ILBEcuxZq @RepLowenthal	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							RepLowenthal
